H	T	d	Uc	L
1.00	7.00	5.00	-2.50	21.4121
1.00	9.00	5.00	-2.50	34.1317
1.00	10.00	5.00	-2.50	39.7386
1.00	11.00	5.00	-2.50	45.1642
1.00	12.00	5.00	-2.50	50.4872
3.00	12.00	5.00	-2.50	59.9952
1.00	13.00	5.00	-2.50	55.7502
3.00	13.00	5.00	-2.50	66.2971
1.00	14.00	5.00	-2.50	60.9783
3.00	14.00	5.00	-2.50	72.5951
1.00	15.00	5.00	-2.50	66.1862
3.00	15.00	5.00	-2.50	78.8885
1.00	16.00	5.00	-2.50	71.3827
3.00	16.00	5.00	-2.50	85.1774
1.00	17.00	5.00	-2.50	76.5730
3.00	17.00	5.00	-2.50	91.4621
1.00	18.00	5.00	-2.50	81.7600
3.00	18.00	5.00	-2.50	97.7431
1.00	19.00	5.00	-2.50	86.9452
3.00	19.00	5.00	-2.50	104.0209
1.00	20.00	5.00	-2.50	92.1294
3.00	20.00	5.00	-2.50	110.2959
1.00	7.00	10.00	-2.50	29.8618
1.00	8.00	10.00	-2.50	41.6298
3.00	8.00	10.00	-2.50	44.9714
1.00	9.00	10.00	-2.50	51.7710
3.00	9.00	10.00	-2.50	54.6620
1.00	10.00	10.00	-2.50	61.1279
3.00	10.00	10.00	-2.50	64.0242
1.00	11.00	10.00	-2.50	70.0295
3.00	11.00	10.00	-2.50	73.1641
1.00	12.00	10.00	-2.50	78.6393
3.00	12.00	10.00	-2.50	82.1640
5.00	12.00	10.00	-2.50	88.5666
1.00	13.00	10.00	-2.50	87.0503
3.00	13.00	10.00	-2.50	91.0781
5.00	13.00	10.00	-2.50	98.1345
1.00	14.00	10.00	-2.50	95.3205
3.00	14.00	10.00	-2.50	99.9413
5.00	14.00	10.00	-2.50	107.7094
1.00	15.00	10.00	-2.50	103.4881
3.00	15.00	10.00	-2.50	108.7753
5.00	15.00	10.00	-2.50	117.2890
1.00	16.00	10.00	-2.50	111.5799
3.00	16.00	10.00	-2.50	117.5932
5.00	16.00	10.00	-2.50	126.8713
1.00	17.00	10.00	-2.50	119.6150
3.00	17.00	10.00	-2.50	126.4028
5.00	17.00	10.00	-2.50	136.4544
1.00	18.00	10.00	-2.50	127.6074
3.00	18.00	10.00	-2.50	135.2081
5.00	18.00	10.00	-2.50	146.0367
1.00	19.00	10.00	-2.50	135.5677
3.00	19.00	10.00	-2.50	144.0113
5.00	19.00	10.00	-2.50	155.6174
1.00	20.00	10.00	-2.50	143.5041
3.00	20.00	10.00	-2.50	152.8134
5.00	20.00	10.00	-2.50	165.1959
1.00	7.00	15.00	-2.50	32.2785
3.00	8.00	15.00	-2.50	50.9351
1.00	9.00	15.00	-2.50	62.0633
3.00	9.00	15.00	-2.50	64.0889
1.00	10.00	15.00	-2.50	74.8234
3.00	10.00	15.00	-2.50	76.5888
5.00	10.00	15.00	-2.50	79.9782
1.00	11.00	15.00	-2.50	86.8430
3.00	11.00	15.00	-2.50	88.5762
5.00	11.00	15.00	-2.50	91.9693
1.00	12.00	15.00	-2.50	98.3701
3.00	12.00	15.00	-2.50	100.1993
5.00	12.00	15.00	-2.50	103.7892
1.00	13.00	15.00	-2.50	109.5529
3.00	13.00	15.00	-2.50	111.5661
5.00	13.00	15.00	-2.50	115.4863
7.00	13.00	15.00	-2.50	121.0394
1.00	14.00	15.00	-2.50	120.4851
3.00	14.00	15.00	-2.50	122.7519
5.00	14.00	15.00	-2.50	127.1020
7.00	14.00	15.00	-2.50	133.1411
1.00	15.00	15.00	-2.50	131.2294
3.00	15.00	15.00	-2.50	133.8097
5.00	15.00	15.00	-2.50	138.6662
7.00	15.00	15.00	-2.50	145.2540
1.00	16.00	15.00	-2.50	141.8293
3.00	16.00	15.00	-2.50	144.7769
5.00	16.00	15.00	-2.50	150.1999
7.00	16.00	15.00	-2.50	157.3718
9.00	16.00	15.00	-2.50	165.3228
1.00	17.00	15.00	-2.50	152.3162
3.00	17.00	15.00	-2.50	155.6805
5.00	17.00	15.00	-2.50	161.7162
7.00	17.00	15.00	-2.50	169.4963
9.00	17.00	15.00	-2.50	177.9828
1.00	18.00	15.00	-2.50	162.7134
3.00	18.00	15.00	-2.50	166.5401
5.00	18.00	15.00	-2.50	173.2238
7.00	18.00	15.00	-2.50	181.6261
9.00	18.00	15.00	-2.50	190.6358
1.00	19.00	15.00	-2.50	173.0384
3.00	19.00	15.00	-2.50	177.3697
5.00	19.00	15.00	-2.50	184.7273
7.00	19.00	15.00	-2.50	193.7596
9.00	19.00	15.00	-2.50	203.2963
1.00	20.00	15.00	-2.50	183.3049
3.00	20.00	15.00	-2.50	188.1795
5.00	20.00	15.00	-2.50	196.2294
7.00	20.00	15.00	-2.50	205.8953
9.00	20.00	15.00	-2.50	215.9616
1.00	7.00	20.00	-2.50	32.7670
3.00	8.00	20.00	-2.50	53.7868
1.00	9.00	20.00	-2.50	68.1147
3.00	9.00	20.00	-2.50	69.9131
5.00	9.00	20.00	-2.50	73.1623
1.00	10.00	20.00	-2.50	83.9800
3.00	10.00	20.00	-2.50	85.3787
5.00	10.00	20.00	-2.50	88.0538
1.00	11.00	20.00	-2.50	98.8846
3.00	11.00	20.00	-2.50	100.1329
5.00	11.00	20.00	-2.50	102.5748
7.00	11.00	20.00	-2.50	106.1799
1.00	12.00	20.00	-2.50	113.1026
3.00	12.00	20.00	-2.50	114.3259
5.00	12.00	20.00	-2.50	116.7454
7.00	12.00	20.00	-2.50	120.3033
1.00	13.00	20.00	-2.50	126.8252
3.00	13.00	20.00	-2.50	128.0997
5.00	13.00	20.00	-2.50	130.6273
7.00	13.00	20.00	-2.50	134.3527
1.00	14.00	20.00	-2.50	140.1810
